country,year,donors,pop,pop.dens,gdp,gdp.lag,health,health.lag,pubhealth,roads,cerebvas,assault,external,txp.pop,world,opt,consent.law,consent.practice,consistent,ccode
Austria,1998,20.7,7977,9.512282375,25423,24364,1953,1848,5.4,120.722076,732,11,439,0.626802056,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,1999,25.9,7992,9.53016933,26513,25423,2069,1953,5.4,135.01001,699,8,458,0.625625626,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2000,24,8012,9.554018602,27738,26513,2147,2069,5.4,121.8172741,644,9,460,0.624063904,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2001,23.9,8030,9.575482948,28457,27738,2174,2147,5.2,119.3026152,583,9,429,0.622665006,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,2002,23.8,8053,9.602909611,28842,28457,2220,2174,5.4,118.7135229,586,9,442,0.620886626,Corporatist,Out,Presumed,Presumed,Yes,Aus
Austria,NA,NA,NA,NA,NA,28842,2266,2220,NA,NA,NA,NA,NA,NA,Corporatist,Out,Presumed,Presumed,Yes,Aus
Belgium,NA,NA,9967,30.11178248,18008,16848,1340,1246,NA,198.254239,688,13,565,0.802648741,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1991,21,10005,30.2265861,18796,18008,1460,1340,NA,187.2063968,662,14,561,0.7996002,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1992,20.6,10045,30.34743202,19444,18796,1547,1460,NA,166.4509706,646,16,547,0.796416127,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1993,21,10085,30.46827795,19733,19444,1595,1547,NA,164.6008924,659,19,574,0.793257313,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1994,22.8,10116,30.56193353,20732,19733,1632,1595,6,167.2597865,615,17,584,0.790826414,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1995,19.6,10137,30.62537764,21679,20732,1882,1632,6,142.9416987,586,16,549,0.789188123,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1996,21.2,10157,30.6858006,22152,21679,1981,1882,6.4,133.5039874,585,19,523,0.787634144,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1997,22.5,10181,30.75830816,22936,22152,1967,1981,6,133.9750516,574,17,523,0.785777429,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1998,19.4,10203,30.82477341,23738,22936,2041,1967,6,147.0155837,563,15,523,0.784083113,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,1999,25.2,10226,30.89425982,24521,23738,2139,2041,6.2,136.6125562,552,13,523,0.782319578,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2000,25.6,10251,30.96978852,25991,24521,2288,2139,6.2,143.4006438,541,11,523,0.780411667,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2001,22.2,10287,31.07854985,27113,25991,2441,2288,6.4,144.4541655,530,9,523,0.777680568,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,2002,21.7,10333,31.21752266,27652,27113,2515,2441,6.5,145.3595277,519,7,523,0.774218523,Corporatist,Out,Presumed,Presumed,No,Bel
Belgium,NA,NA,NA,NA,NA,27652,2589,2515,NA,NA,NA,NA,NA,NA,Corporatist,Out,Presumed,Presumed,No,Bel
Canada,NA,NA,27701,0.277826532,19044,18699,1714,1600,6.7,143.0634273,476,20,469,1.119093174,Liberal,In,Informed,Informed,Yes,Can
Canada,1991,14.7,28031,0.281136259,19101,19044,1855,1714,7.2,131.63997,462,22,463,1.105918447,Liberal,In,Informed,Informed,Yes,Can
Canada,1992,12.6,28377,0.284606458,19590,19101,1959,1855,7.4,123.3745639,449,20,436,1.092434013,Liberal,In,Informed,Informed,Yes,Can
Canada,1993,14.1,28703,0.287876068,20269,19590,2002,1959,7.2,125.9450232,463,17,440,1.080026478,Liberal,In,Informed,Informed,Yes,Can
Canada,1994,13.9,29036,0.291215883,21428,20269,2039,2002,6.9,112.377738,444,17,422,1.067640171,Liberal,In,Informed,Informed,Yes,Can
Canada,1995,14.8,29354,0.294405257,22292,21428,2044,2039,6.5,114.1582067,434,16,424,1.05607413,Liberal,In,Informed,Informed,Yes,Can
Canada,1996,14,29672,0.297594631,22764,22292,2039,2044,6.3,104.1722836,432,17,417,1.044755999,Liberal,In,Informed,Informed,Yes,Can
Canada,1997,14.2,29987,0.300753916,23949,22764,2130,2039,6.2,102.1776103,430,14,399,1.033781305,Liberal,In,Informed,Informed,Yes,Can
Canada,1998,13.7,30248,0.303371609,25013,23949,2291,2130,6.5,97.49404919,407,15,398,1.024861148,Liberal,In,Informed,Informed,Yes,Can
Canada,1999,13.8,30499,0.305889008,26658,25013,2400,2291,6.3,97.87206138,387,15,411,1.016426768,Liberal,In,Informed,Informed,Yes,Can
Canada,2000,15.3,30770,0.308606996,28472,26658,2541,2400,6.3,95.09262268,378,15,382,1.007474813,Liberal,In,Informed,Informed,Yes,Can
Canada,2001,13.5,31111,0.312027047,29235,28472,2743,2541,6.6,89.29317605,369,15,353,0.99643213,Liberal,In,Informed,Informed,Yes,Can
Canada,2002,13,31414,0.315065979,30429,29235,2931,2743,6.7,83.72063411,360,15,324,0.986821163,Liberal,In,Informed,Informed,Yes,Can
Canada,NA,NA,NA,NA,NA,30429,3119,2931,NA,NA,NA,NA,NA,NA,Liberal,In,Informed,Informed,Yes,Can
Denmark,NA,NA,5141,11.93084242,18285,17460,1554,1506,7,123.3223108,699,10,582,0.778058743,SocDem,In,Informed,Informed,Yes,Den
Denmark,1991,11.7,5154,11.96101184,19126,18285,1603,1554,7,117.5785797,688,13,572,0.776096236,SocDem,In,Informed,Informed,Yes,Den
Denmark,1992,16.1,5171,12.00046414,19644,19126,1660,1603,7,111.5838329,691,13,565,0.773544769,SocDem,In,Informed,Informed,Yes,Den
Denmark,1993,14.7,5189,12.04223718,20056,19644,1757,1660,7.2,107.7278859,714,12,574,0.770861438,SocDem,In,Informed,Informed,Yes,Den
Denmark,1994,12.9,5206,12.08168949,21494,20056,1834,1757,7,104.8789858,646,13,548,0.768344218,SocDem,In,Informed,Informed,Yes,Den
Denmark,1995,12.9,5233,12.14434904,22462,21494,1843,1834,6.8,111.217275,655,11,535,0.764379897,SocDem,In,Informed,Informed,Yes,Den
Denmark,1996,14,5263,12.21397076,23548,22462,1949,1843,6.8,97.66292989,650,11,499,0.760022801,SocDem,In,Informed,Informed,Yes,Den
Denmark,1997,11.4,5285,12.26502669,24676,23548,2028,1949,6.8,92.52601703,606,11,506,0.756859035,SocDem,In,Informed,Informed,Yes,Den
Denmark,1998,11,5304,12.30912045,25537,24676,2141,2028,6.9,94.07993967,580,9,482,0.754147813,SocDem,In,Informed,Informed,Yes,Den
Denmark,1999,14.3,5322,12.35089348,26985,25537,2297,2141,7,96.580233,588,11,495,0.751597144,SocDem,In,Informed,Informed,Yes,Den
Denmark,2000,12.5,5340,12.39266651,28146,26985,2351,2297,6.9,97.56554307,596,13,508,0.74906367,SocDem,In,Informed,Informed,Yes,Den
Denmark,2001,12.9,5359,12.43676027,29203,28146,2523,2353,7.1,80.42545251,604,15,521,0.746407912,SocDem,In,Informed,Informed,Yes,Den
Denmark,2002,12.7,5376,12.47621258,29228,29203,2580,2520,7.3,86.1235119,612,17,534,0.744047619,SocDem,In,Informed,Informed,Yes,Den
Denmark,NA,NA,NA,NA,NA,29228,2637,2583,NA,NA,NA,NA,NA,NA,SocDem,In,Informed,Informed,Yes,Den
Finland,NA,NA,4986,1.474493568,18025,17436,1414,1268,6.3,130.1644605,957,30,853,0.601684717,SocDem,NA,Presumed,Informed,No,Fin
Finland,1991,16.8,5014,1.482773917,17281,18025,1547,1414,7.3,126.0470682,939,28,823,0.598324691,SocDem,NA,Presumed,Informed,No,Fin
Finland,1992,19.4,5042,1.491054266,16943,17281,1542,1547,7.2,119.1987307,886,32,792,0.595001983,SocDem,NA,Presumed,Informed,No,Fin
Finland,1993,19.6,5066,1.498151708,17082,16943,1421,1542,6.3,95.5388867,932,31,741,0.592183182,SocDem,NA,Presumed,Informed,No,Fin
Finland,1994,20,5088,1.504657696,17993,17082,1390,1421,5.8,94.33962264,830,29,738,0.589622642,SocDem,NA,Presumed,Informed,No,Fin
Finland,1995,19.4,5108,1.510572231,19031,17993,1428,1390,5.7,86.33516053,875,28,737,0.587314017,SocDem,NA,Presumed,Informed,No,Fin
Finland,1996,19.5,5125,1.515599586,19842,19031,1517,1428,5.8,78.82926829,736,32,686,0.585365854,SocDem,NA,Presumed,Informed,No,Fin
Finland,1997,16.3,5140,1.520035487,21691,19842,1580,1517,5.5,85.21400778,721,25,701,0.583657588,SocDem,NA,Presumed,Informed,No,Fin
Finland,1998,19.8,5154,1.524175662,23267,21691,1607,1580,5.3,77.60962359,670,22,686,0.582072177,SocDem,NA,Presumed,Informed,No,Fin
Finland,1999,16.5,5166,1.527724383,23702,23267,1641,1607,5.2,83.43012002,652,24,673,0.580720093,SocDem,NA,Presumed,Informed,No,Fin
Finland,2000,19.9,5176,1.53068165,25397,23702,1698,1641,5,76.50695518,639,25,657,0.579598145,SocDem,NA,Presumed,Informed,No,Fin
Finland,2001,17,5188,1.534230371,26376,25397,1841,1698,5.3,83.461835,604,26,660,0.578257517,SocDem,NA,Presumed,Informed,No,Fin
Finland,2002,17.1,5201,1.538074819,26616,26376,1943,1841,5.5,79.79234763,587,25,638,0.576812152,SocDem,NA,Presumed,Informed,No,Fin
Finland,NA,NA,NA,NA,NA,26616,2045,1943,NA,NA,NA,NA,NA,NA,SocDem,NA,Presumed,Informed,No,Fin
France,NA,NA,56709,10.28268359,18162,17113,1555,1555,6.6,197.7640233,529,10,689,0.722989296,Corporatist,Out,Presumed,Informed,No,Fra
France,1991,19.1,56976,10.33109701,18989,18162,1668,1555,6.7,183.9897501,520,10,668,0.719601236,Corporatist,Out,Presumed,Informed,No,Fra
France,1992,16.8,57240,10.37896646,19566,18989,1769,1668,6.9,172.9559748,487,10,650,0.71628232,Corporatist,Out,Presumed,Informed,No,Fra
France,1993,17.1,57467,10.42012693,19763,19566,1866,1769,7.2,171.69854,473,11,645,0.713452938,Corporatist,Out,Presumed,Informed,No,Fra
France,1994,15.4,57659,10.45494107,20655,19763,1937,1866,7.1,156.4196396,437,11,615,0.711077195,Corporatist,Out,Presumed,Informed,No,Fra
France,1995,15.1,57844,10.48848595,21283,20655,2025,1937,7.3,153.706521,431,10,602,0.708802987,Corporatist,Out,Presumed,Informed,No,Fra
France,1996,15.1,58026,10.52148685,21990,21283,2091,2025,7.2,147.1926378,424,10,580,0.706579809,Corporatist,Out,Presumed,Informed,No,Fra
France,1997,15,58208,10.55448776,23113,21990,2163,2091,7.1,145.0659703,409,9,571,0.704370533,Corporatist,Out,Presumed,Informed,No,Fra
France,1998,16.5,58398,10.58893926,24044,23113,2231,2163,7.1,152.7107093,405,7,581,0.702078838,Corporatist,Out,Presumed,Informed,No,Fra
France,1999,16.2,58623,10.62973708,24856,24044,2306,2231,7.1,144.7725296,394,7,572,0.699384201,Corporatist,Out,Presumed,Informed,No,Fra
France,2000,17,58896,10.67923844,25928,24856,2416,2306,7.1,137.1740016,383,7,563,0.696142353,Corporatist,Out,Presumed,Informed,No,Fra
France,2001,17.8,59192,10.73291024,27394,25928,2588,2416,7.2,137.8564671,372,7,554,0.69266117,Corporatist,Out,Presumed,Informed,No,Fra
France,2002,20,59486,10.7862194,28094,27394,2736,2588,7.4,128.6857412,361,7,545,0.689237804,Corporatist,Out,Presumed,Informed,No,Fra
France,NA,NA,NA,NA,NA,28094,2884,2760,NA,NA,NA,NA,NA,NA,Corporatist,Out,Presumed,Informed,No,Fra
Germany,NA,NA,63254,17.71671848,20359,19015,1729,1630,6.5,174.6292725,846,10,477,0.695608183,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1991,13.3,80014,22.41100188,17511,20359,1845.5,1729,7.25,141.2252856,880,11,480,0.549903767,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1992,14.2,80625,22.58213595,19811,17511,1962,1845.5,8,131.8573643,834,11,456,0.545736434,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1993,13.9,81156,22.73086295,19983,19811,1988,1962,8,122.5910592,817,11,432,0.542165706,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1994,12.3,81438,22.80984791,20690,19983,2106,1988,8.2,120.5088534,791,11,417,0.540288317,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1995,12.8,81678,22.87706915,21411,20690,2263,2106,8.5,115.7472024,753,11,399,0.538700752,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1996,12.7,81915,22.94345013,22164,21411,2410,2263,8.8,106.9157053,725,11,385,0.53714216,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1997,13.2,82035,22.97706075,22589,22164,2416,2410,8.5,104.211617,679,9,370,0.536356433,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1998,13.4,82047,22.98042181,23283,22589,2470,2416,8.3,94.96995624,650,9,345,0.536277987,Corporatist,In,Informed,Informed,Yes,Ger
Germany,1999,13.2,82100,22.9952665,24100,23283,2563,2470,8.4,94.66504263,608,9,339,0.53593179,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2000,12.5,82212,23.02663642,24942,24100,2640,2563,8.3,91.26404904,558,7,338,0.535201674,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2001,12.8,82350,23.06528863,25436,24942,2735,2640,8.5,84.72374013,535,7,329,0.534304797,Corporatist,In,Informed,Informed,Yes,Ger
Germany,2002,12.2,82489,23.10422093,25843,25436,2830,2735,8.6,82.94439259,512,7,320,0.533404454,Corporatist,In,Informed,Informed,Yes,Ger
Germany,NA,NA,NA,NA,NA,25843,2925,2830,NA,NA,NA,NA,NA,NA,Corporatist,In,Informed,Informed,Yes,Ger
Italy,NA,NA,56719,18.82226057,17430,16525,1397,1274,6.4,125.8308503,886,25,422,0.458400183,Corporatist,In,Presumed,Informed,No,Ita
Italy,1991,5.2,56751,18.8328798,18209,17430,1520,1397,6.6,142.4292083,876,27,435,0.458141707,Corporatist,In,Presumed,Informed,No,Ita
Italy,1992,5.8,56859,18.86871972,18883,18209,1584,1520,6.5,140.945145,832,21,419,0.457271496,Corporatist,In,Presumed,Informed,No,Ita
Italy,1993,6.2,57049,18.93177142,19124,18883,1554,1584,6.2,125.5587302,821,16,396,0.455748567,Corporatist,In,Presumed,Informed,No,Ita
Italy,1994,7.9,57204,18.98320834,19903,19124,1557,1554,5.9,123.9598629,791,15,381,0.45451367,Corporatist,In,Presumed,Informed,No,Ita
Italy,1995,10.1,57301,19.01539789,20652,19903,1524,1557,5.3,122.5109509,715,14,376,0.453744263,Corporatist,In,Presumed,Informed,No,Ita
Italy,1996,11,57397,19.04725559,21396,20652,1605,1524,5.4,116.3126993,670,14,366,0.452985348,Corporatist,In,Presumed,Informed,No,Ita
Italy,1997,11.6,57512,19.08541846,22030,21396,1705,1605,5.6,116.7060787,669,12,365,0.452079566,Corporatist,In,Presumed,Informed,No,Ita
Italy,1998,12.3,57588,19.11063915,23291,22030,1800,1705,5.6,109.6408974,670,12,359,0.451482948,Corporatist,In,Presumed,Informed,No,Ita
Italy,1999,13.7,57646,19.12988651,23729,23291,1853,1800,5.6,115.0643583,627,11,343,0.451028692,Corporatist,In,Presumed,Informed,No,Ita
Italy,2000,14.2,57762,19.16838123,24629,23729,2001,1853,6,110.9726118,597,10,327,0.450122918,Corporatist,In,Presumed,Informed,No,Ita
Italy,2001,17.1,57894,19.21218557,25359,24629,2107,2001,6.3,115.4178326,567,9,311,0.449096625,Corporatist,In,Presumed,Informed,No,Ita
Italy,2002,18.1,57994,19.24537068,25569,25359,2166,2107,6.4,119.9089561,537,8,295,0.44832224,Corporatist,In,Presumed,Informed,No,Ita
Italy,NA,NA,NA,NA,NA,25569,2225,2166,NA,NA,NA,NA,NA,NA,Corporatist,In,Presumed,Informed,No,Ita
Ireland,NA,NA,3514,5.000711541,12917,11434,791,727,4.4,136.0273193,825,7,432,0.853727945,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1991,19,3534,5.029173189,13495,12917,884,791,4.8,125.9196378,807,6,410,0.848896435,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1992,19.5,3558,5.063327167,14241,13495,1005,884,5,116.638561,787,8,379,0.84317032,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1993,17.1,3576,5.08894265,14927,14241,1041,1005,5.1,120.5257271,802,7,374,0.838926174,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1994,20.3,3590,5.108865803,15990,14927,1119,1041,5,112.5348189,749,7,392,0.835654596,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1995,24.6,3609,5.135904369,17789,15990,1208,1119,4.9,121.0861735,733,8,387,0.831255195,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1996,16.8,3636,5.174327594,19245,17789,1269,1208,4.7,124.5874587,719,9,391,0.825082508,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1997,20.9,3673,5.226981642,22017,19245,1417,1269,4.8,128.777566,665,8,394,0.816771032,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1998,23.8,3715,5.286751103,23995,22017,1487,1417,4.7,123.2839838,614,11,417,0.807537012,Liberal,In,Informed,Informed,Yes,Irl
Ireland,1999,18.7,3756,5.345097481,25936,23995,1623,1487,4.6,110.2236422,663,10,409,0.798722045,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2000,17.6,3801,5.409136189,27891,25936,1774,1623,4.7,109.1817943,631,10,394,0.789265983,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2001,18.2,3863,5.497367298,29703,27891,2059,1774,5.2,106.6528605,599,10,379,0.776598499,Liberal,In,Informed,Informed,Yes,Irl
Ireland,2002,21,3932,5.595559983,32571,29703,2367,2059,5.5,95.62563581,567,10,364,0.762970498,Liberal,In,Informed,Informed,Yes,Irl
Ireland,NA,NA,NA,NA,NA,32571,2675,2367,NA,NA,NA,NA,NA,NA,Liberal,In,Informed,Informed,Yes,Irl
Netherlands,NA,NA,14952,36.00288948,17707,16580,1419,1320,5.4,92.02782236,649,9,310,0.735687533,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1991,14.9,15070,36.28702143,18708,17707,1532,1419,5.7,85.00331785,651,11,314,0.729927007,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1992,15.1,15184,36.56152179,19285,18708,1623,1532,6.1,82.52107482,650,12,309,0.724446786,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1993,15.4,15290,36.81675897,19856,19285,1700,1623,6.3,80.77174624,638,12,295,0.71942446,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1994,13.1,15383,37.04069347,20768,19856,1745,1700,6.1,84.37885978,616,10,294,0.715075083,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1995,15.2,15459,37.22369372,21723,20768,1827,1745,6,86.29277444,594,12,286,0.711559609,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1996,15.1,15531,37.39706236,22541,21723,1878,1827,5.5,75.9770781,577,13,293,0.708260898,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1997,14.4,15611,37.5896942,23753,22541,1936,1878,5.5,74.49875088,563,13,282,0.70463135,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1998,13,15707,37.8208524,24780,23753,2016,1936,5.5,67.86782963,552,11,265,0.700324696,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,1999,10.9,15812,38.07368168,25438,24780,2098,2016,5.5,68.93498609,557,12,276,0.695674172,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,2000,12.6,15926,38.34818204,26873,25438,2196,2098,5.5,67.93921889,538,11,270,0.690694462,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,2001,11.6,16046,38.63712979,28756,26873,2455,2196,5.5,61.88458183,519,10,264,0.685529104,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,2002,12.6,16149,38.88514327,28983,28756,2643,2455,5.5,61.1183355,500,9,258,0.681156728,SocDem,In,Informed,Informed,Yes,Neth
Netherlands,NA,NA,NA,NA,NA,28983,2831,2643,NA,NA,NA,NA,NA,NA,SocDem,In,Informed,Informed,Yes,Neth
Norway,NA,NA,4242,1.30974435,17905,16942,1385,1297,6.4,78.26496935,816,11,518,0.23573786,SocDem,Out,Presumed,Informed,No,Nor
Norway,1991,15.2,4262,1.315919476,19134,17905,1542,1385,6.8,75.78601595,758,14,482,0.234631628,SocDem,Out,Presumed,Informed,No,Nor
Norway,1992,14.3,4286,1.323329628,20128,19134,1643,1542,6.9,75.82827811,760,11,463,0.233317779,SocDem,Out,Presumed,Informed,No,Nor
Norway,1993,17.1,4312,1.331357293,21047,20128,1688,1643,6.8,65.16697588,767,10,442,0.231910946,SocDem,Out,Presumed,Informed,No,Nor
Norway,1994,16,4337,1.339076201,22503,21047,1777,1688,6.7,65.25247867,696,7,405,0.23057413,SocDem,Out,Presumed,Informed,No,Nor
Norway,1995,15.7,4359,1.34586884,23868,22503,1892,1777,6.7,69.97017665,668,10,412,0.229410415,SocDem,Out,Presumed,Informed,No,Nor
Norway,1996,15.1,4381,1.35266148,26218,23868,2064,1892,6.6,58.20588907,689,10,394,0.228258388,SocDem,Out,Presumed,Informed,No,Nor
Norway,1997,15.1,4405,1.360071631,27784,26218,2179,2064,6.6,68.78547106,646,9,406,0.227014756,SocDem,Out,Presumed,Informed,No,Nor
Norway,1998,15.6,4432,1.368408052,27323,27784,2314,2179,7.2,79.42238267,639,10,408,0.225631769,SocDem,Out,Presumed,Informed,No,Nor
Norway,1999,15.5,4462,1.377670742,30005,27323,2561,2314,7.3,68.13088301,593,8,424,0.224114747,SocDem,Out,Presumed,Informed,No,Nor
Norway,2000,17.6,4491,1.386624676,35829,30005,2747,2561,6.5,75.92963705,554,12,412,0.222667557,SocDem,Out,Presumed,Informed,No,Nor
Norway,2001,14.4,4514,1.393726071,36554,35829,2946,2747,6.9,60.92157732,523,8,383,0.221533008,SocDem,Out,Presumed,Informed,No,Nor
Norway,2002,13.7,4538,1.401136223,35531,36554,3083,3258,7.4,68.31203173,492,4,354,0.220361393,SocDem,Out,Presumed,Informed,No,Nor
Norway,NA,NA,NA,NA,NA,35531,3220,3409,NA,NA,NA,NA,NA,NA,SocDem,Out,Presumed,Informed,No,Nor
Spain,NA,NA,38850,7.678017352,12971,12051,865,759,5.3,232.4839125,862,9,453,0.720720721,NA,Out,Presumed,Informed,No,Spa
Spain,1991,20.2,38920,7.691851618,13754,12971,946,865,5.3,227.0298047,856,9,441,0.71942446,NA,Out,Presumed,Informed,No,Spa
Spain,1992,21.7,39011,7.709836163,14331,13754,1035,946,5.6,200.405014,786,8,405,0.717746277,NA,Out,Presumed,Informed,No,Spa
Spain,1993,22.6,39096,7.726634914,14359,14331,1084,1035,5.8,163.0857377,752,9,381,0.716185799,NA,Out,Presumed,Informed,No,Spa
Spain,1994,25,39166,7.740469179,15024,14359,1116,1084,5.6,143.33861,719,8,368,0.714905786,NA,Out,Presumed,Informed,No,Spa
Spain,1995,27,39223,7.751734224,15720,15024,1195,1116,5.5,146.5721643,681,8,367,0.713866864,NA,Out,Presumed,Informed,No,Spa
Spain,1996,26.8,39279,7.762801636,16416,15720,1250,1195,5.5,139.5656712,644,8,362,0.712849105,NA,Out,Presumed,Informed,No,Spa
Spain,1997,29,39348,7.77643827,17203,16416,1287,1250,5.4,142.42147,609,8,361,0.711599065,NA,Out,Presumed,Informed,No,Spa
Spain,1998,31.5,39453,7.797189668,18332,17203,1371,1287,5.4,150.9897853,597,8,366,0.709705219,NA,Out,Presumed,Informed,No,Spa
Spain,1999,33.4,39626,7.831380067,19546,18332,1467,1371,5.4,144.8039166,587,8,351,0.706606773,NA,Out,Presumed,Informed,No,Spa
Spain,2000,33.9,40614,8.026640843,20017,19546,1493,1467,5.3,142.2169695,530,9,349,0.689417442,NA,Out,Presumed,Informed,No,Spa
Spain,2001,32.5,41201,8.142651041,20864,20017,1567,1493,5.4,133.8802456,473,10,347,0.679595155,NA,Out,Presumed,Informed,No,Spa
Spain,2002,33.7,41874,8.275657622,21592,20864,1646,1567,5.4,127.6926016,416,11,345,0.668672685,NA,Out,Presumed,Informed,No,Spa
